no.,가수,곡 명,발매년도,계절,노래가사,성별
21,f(x),Hot Summer,2011.6.14,여름,Hot Hot Hot Hot Summer Hot Hot Hot Hot Breath Hot Hot Hot Hot Summer Hot Hot Hot Hot Breath 도저히 이렇겐 더 안되겠어 내가 어떻게든 좀 손보겠어 낡은 스타일밖에 모르는 넌 프로듀스 얼마나 멋져질지 좀 알겠어 교실에서 사무실 책상에서 청소 안 한 방에서 어서 나와라 어서 뜨거운 광선 쏟아져 앗 따끔해 눈부셔 살짝 찌푸린 눈 선글래스 얼음을 깨문 입 속 와작 얼얼해 하늘은 파랗다 못해 투명해져 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 너무 더워 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 이게 제 맛 Hot Hot Hot Hot Summer Hot Hot Hot Hot Breath 말리부 해변은 아니더라도 금가루 뿌렸니 눈부셔 파도 발 툭툭 털고 아이스크림 가게로 가십 가득한 TV가 재미없어 한강에서 물 파란 동해에서 저 워터 파크에서 재밌게 놀자 어서 뜨거운 광선 쏟아져 앗 따끔해 눈부셔 살짝 찡그린 눈 선글래스 얼음을 깨문 입 속 와작 얼얼해 하늘은 파랗다 못해 투명해져 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 너무 더워 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 이게 제 맛 땀 흘리는 외국인은 길을 알려주자 너무 더우면 까만 긴 옷 입자 Yeah! It Must Be Burning Cuz I Got You Sweating In This Weather All Them Heads Be Turning True Dat You Know I Got It 뜨거운 광선 쏟아져 앗 따끔해 눈부셔 살짝 찌푸린 눈 선글래스 얼음을 깨문 입 속 와작 얼얼해 하늘은 파랗다 못해 투명해져 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 너무 더워 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 이게 제 맛 Hot Summer Ah Hot Hot Summer Hot Summer Ah Hot Hot 너무 더워 Hot Hot Hot Hot Summer Hot Hot Hot Hot Breath,여
22,마마무,별이 빛나는 밤,2018.3.7,봄,손끝이 시리더니 벌써 봄이 왔네 꿈같은 바람이 불어 곳곳에 여느 때 와는 다른 듯한 이 기분이 반가워 내일은 좀 다른 날이 되려나 어둠의 그림자 깊은 이 밤에 남겨진 달이 달이 밝아와 빛을 그리고 있어 내 몸에서 널 뺀 만큼 욕조에 물이 미련이 되어 넘쳐흘러 한숨이 가득 그 공간을 채워 새벽이 찾아오면 혼자 남겨질 때면 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤 겨울이 지나고 또다시 꽃은 피고 따뜻한 공기 냄새가 날 감싸 달라진 거 없는 똑같은 일상이 반복돼 그래도 내일을 기다려봐 하루에 끝에서 이 자리에 남아서 날이 날이 새도록 너를 그리고 있어 Do you want me to leave? No! 난 그 자리 그대로 까만 밤하늘에 가려 잠시 보이지 않는 거야 새벽이 찾아오면 혼자 남겨질 때면 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤 Starry Starry Night 네가 없는 밤 가슴이 공허해 우리의 풍경이 저물어가 현실을 부정해 눈을 감아도 네가 보여 왜 아른거려 Leave me alone 무너져 가네 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤,여
23,죠지,Boat,2017.11.17,사계절,I'm on a boat 눈에보이는 사방이 바다야 갓 잡아올린 생선을 회쳐서먹어 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 I'm on a boat 내가 원했던건 그게전부야 흘러가는파도와 내 흔들리는 보트 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 지는 해를 바라보면서 잠들수있는 낙이 필요해 떠나지말란 법은 없지만 두고가야할게많아 겁이나는걸 가끔은 한심한 꿈들이 필요해 But 나를 바라보는 눈이 너무많아 저 멀리 갈수있는 배가 필요해 내 삶은 파도 따라서 흘러가야돼 I'm on a boat 눈에보이는 사방이 바다야 갓 잡아올린 생선을 회쳐서먹어 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 I'm on a boat 내가 원했던건 그게전부야 흘러가는파도와 내 흔들리는 보트 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 지금은 꽤나 멀리온듯해 생각했던 모습과는 조금달라도 괜찮아 이건모두 내가 바랬던 이상의 일부야 이정돈 감수해야지이이 예에에 큰 파도가 날 덮칠수도있지만 뜻밖의 사고가 날 수도있지만 I'll be ok 난 내 삶에 만족해 날 향한 걱정과 우려는 필요없어 I'm on a boat 눈에보이는 사방이 바다야 갓 잡아올린 생선을 회쳐서먹어 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 I'm on a boat 내가 원했던건 그게전부야 흘러가는파도와 내 흔들리는 보트 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 I'm on a boat 눈에보이는 사방이 바다야 갓 잡아올린 생선을 회쳐서먹어 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리 I'm on a boat 내가 원했던건 그게전부야 흘러가는파도와 내 흔들리는 보트 I'm on a boat 멀어지는 도시 We're going on 어딘가로 멀리멀리,남
24,후디,안녕히 (Adios) (Feat. GRAY),2019.10.29,사계절,"넘치는 기대를 넘어 생각 없이 밖으로 나갈 거야 새로운 바다를 건너 어쩌면 다른 우주로 난 떠나 난 떠날래 난 떠날래 아무도 찾을 수 없는 곳으로 난 떠나고 안 나타날 거야 기억에서 사라질 때까지 Such a sunny day 내 방은 흐린데 억지로 나를 일으켰네 머리 위에 선 누군가가 날 잠 못 들게 눈 감지 못하게 해 춤을 춰 마치 신이 난 듯이 우는 낯으로 노랠 쓸 순 없으니 내 몸의 움직임 Like a marionette 두 팔에 달린 끈을 잘라내 이제 Woo 지겨웠던 이 굴레 속에서 벗어나 잊고 있었던 자유를 찾아서 I be like 난 떠날래 난 떠날래 아무도 찾을 수 없는 곳으로 난 떠나고 안 나타날 거야 기억에서 사라져 지워 기억에서 Adios 꿈에서도 Adios 아쉬워 마 Amigos 그리울 때 나타날게 잊혀질 때쯤 나 떠날 테니까 날 찾지마마마 왜인지는 궁금해도 묻지마마마 그냥 나도 사람이니깐 막 막 지쳐버리고 말아 숨통을 조여 갑갑 답답 아무도 날 모르는 곳으로 갈래 하늘만 봐도 멋진 영화 속의 피날레 해변가에 누워 이 고독을 난 즐겨 I just wanna party all day all night long 이 자유를 온몸으로 느껴 펌킨형도 날 찾지 말아줘 Adios! 행복을 찾아서 떠날래, amigos yeah Woo 지겨웠던 이 굴레 속에서 벗어나 잊고 있었던 자유를 찾아서 I be like 난 떠날래 난 떠날래 아무도 찾을 수 없는 곳으로 난 떠나고 안 나타날 거야 기억에서 사라져 지워 기억에서 Adios 꿈에서도 Adios 아쉬워 마 Amigos 그리울 때 나타날게 잊혀질 때쯤 내일도 모레도 지금과 같을 걸 기억에서 꿈에서 이제 난 안녕히",남
25,크러쉬,아름다운 그대 (Feat. CHOIZA),2014.6.5,여름,뻔한 노래 이제 끌래 내가 느끼게 해줄 새로운 설렘 눈을 감고 파도가 넘치는 바다로 가는 거야 넌 붉은 비키니를 입고 날 불러 난 내 두 눈을 어디에 놓을지 정확히 알고 있어 그건 바로 너의 woo yeah 네 입술과 매끈한 엉덩이를 봐 아무것도 중요하지 않아 지금 이 순간 아름다운 그대 하나뿐인 그대 나 오늘밤을 그대 품에 안기고 싶어 Ma lady lady lady 네 입술은 빨개 깨물고 싶어져 달콤한 딸기 같애 이 순간 되고 싶어 네가 들고 있는 파란 레몬 에이드의 빨대 해변에 누워서 잘 때 테닝 오일을 등에다 발라달래 긴 생머리 잘록한 허리를 부드럽게 스치는 내 손의 핑거 발레 눈동자는 수영장 크고 깊고 투명해 난 지금 그 속에 푹 빠져서 계속 허우적대 네 미소는 내 기분 띄우는 부력 내 각막에 보물 지도를 그려 네 맘이 나침반 어디로 갈까? 난 컴퍼스 네 물음에는 원만 그려 네 입술과 매끈한 엉덩이를 봐 아무것도 중요하지 않아 지금 이 순간 아름다운 그대 하나뿐인 그대 나 오늘밤을 그대 품에 안기고 싶어 Ma lady lady lady 더운 여름도 woo yeah 추운 겨울도 woo yeah 우리 사이를 멈출 수가 없는 걸 You're the only one 아름다운 그대 하나뿐인 그대 나 오늘밤을 그대 품에 안기고 싶어 Ma lady lady lady My lady my lady I want you you you My lady my lady You're the only one yeah,남
26,김진표,두근두근 (Feat. 박정현),2008.5.29,사계절,날씨가 화장할 때 아님 하루 종일 비만 올 때 너무나도 울적해서 창밖도 바라보기 싫을 때 여자 친구와 싸울 때 아님 너무나도 행복할 때 둘만 남아 어딘가에서 사랑을 나누고 싶을 때 세상일이 너무도 짜증날 때 아무도 내 말을 듣지 않을 때 가슴에 난 큰 상처를 이러지도 저러지도 못하고서 방황 할 때 돈이 너무 많아 차고 넘칠 때 아님 돈이 없어 앞이 깜깜할 때 노력했던 모든 것 들이 내 뜻대로 되어 너무나도 기쁘고 행복할 때 함께 떠나보자 어디든지 가자 그저 나의 발이 가는 대로 나의 맘이 향한 대로 설레임을 안고 바다 건너면 과연 뭐가 날 반겨 줄까 구름 하나 없는 파란하늘 저기 보이는 높은 산을 끝도 없는 깊은 바다를 건너 저 멀리 보내봐 나를 오직 지금 순간만을 즐겨보내 작은 마을 하루이틀 사흘 모두 상관없이 그냥 돌아다녀 마치 부르마블 부다페스트의 야경부터 홍도에 타는 붉게타는 낙조까지 인도의 타지마할부터 주산지의 짙은 안개까지 미치도록 걷고 또 걷고 질리도록 다시 보고 다시 보고 세상이 얼마나 넓고 예쁘고 험하고 또 아름답던지 함께 떠나보자 어디든지 가자 그저 나의 발이 가는 대로 나의 맘이 향한 대로 설레임을 안고 바다 건너면 과연 뭐가 날 반겨 줄까 저 멀리 떠나보자(조금은 겁난다고 해도) 우리 함께 떠나자 (아무도 없는 곳이라 해도) 저 넓은 곳을 향해 (나의 멋진 꿈을 향해) 모험을 하자 끝도 없는 깊은 바다 앞에 우두커니 마주보고 섰을 때 부서져서 사라지는 파도같이 하염없어지는 내 존재에 눈물이 앞을 가려도 멀리 떠오르는 태양 바라보며 낄낄 웃을 일 아닌 대도 나는 크게 웃으며 다시 하늘 향해 날아오르길 함께 떠나보자 어디든지 가자 그저 나의 발이 가는 대로 나의 맘이 향한 대로 설레임을 안고 바다 건너면 과연 뭐가 날 반겨 줄까 함께 떠나보자 어디든지 가자 그저 나의 발이 가는 대로 나의 맘이 향한 대로 설레임을 안고 바다 건너면 과연 뭐가 날 반겨 줄까 저 멀리 떠나보자(조금은 겁난다고 해도) 우리 함께 떠나자 (아무도 없는 곳이라 해도) 저 넓은 곳을 향해 (나의 멋진 꿈을 향해) 모험을 하자(환상적인 항해) 저 멀리 떠나보자(조금은 겁난다고 해도) 우리 함께 떠나자 (아무도 없는 곳이라 해도) 저 넓은 곳을 향해 (나의 멋진 꿈을 향해) 모험을 하자(환상적인 항해) 저 멀리 가보자 함께 떠나보자,혼성
27,새소년,긴 꿈,2017.6.20,사계절,"수상한 밤들이 계속되던 날 언젠가부터 나는 좀 달라졌다 빛 바래간 내 웃음이 눈치 없이 삐져나올 때 푸른 바람이 그쳐 잠잠한 날 언젠가부터 나는 좀 달라졌다 내 안에 숨은 마음이 너를 조금씩 궁금해할 때 I want to shoot a movie with you hold your hand and walk, run, fly with you Why am i blooming when i look at you I can change the world to be with you So take my hand and walk run fly with you 거짓말 같은 하루를 흘려내고 너를 내게로 끌어 안을 때면 참 이상해 난 조금 더 시간을 잡아두고 싶어 I want to shoot a movie with you hold your hand and walk, run, fly with you Why am i blooming when i look at you I can change the world to be with you So take my hand and walk run fly with you",남
28,넬,희망고문,2018.11.14,사계절,뭔가 좀 답답해 숨을 쉬고 있어도 숨이 막혀 호흡이 가뻐 하루가 멀다 하고 넘어지기에 바뻐 삶의 무게가 어깨를 짓눌러 분명 휴식이 필요해 숨 쉴 공간이 필요해 좋은 대화가 필요해 나쁘지 않은 낯설음과 느리게 가는 그 시간과 좋은 술 한잔이 필요해 뭔가 좀 막막해 얘길 하고 싶어도 마음이 닫혀 말문이 막혀 하루가 멀다 하고 멀어지기에 바뻐 어떻게 해도 슬픔에 잠겨 잠겨버린 이 마음에 맞는 열쇠가 필요해 있을 거라고 생각해 두려움 없는 설레임과 살아 숨쉬는 감정들과 유치한 희망이 필요해 우리 지금 이대로 떠나버릴까 잠시 다 내려놓고 훌쩍 떠날까 어디든 좋으니까 잠시 다 잊고 우리 지금 이대로 떠나버릴까 그래버릴까 우리 지금 이대로 떠나버릴까 잠시 다 내려놓고 훌쩍 떠날까 어디든 좋으니까 잠시 다 잊고 우리 지금 이대로 떠나버릴까 우리 지금 이대로,남
29,페퍼톤스,러브앤피스,2012.4.24,사계절,"언젠가 짧은 휴가가 생기면 항상 너를 데려가고 싶었던 푸른 바닷가, 그곳에 가자 들뜬 마음으로 길을 따라 한참 걷다 보면 버릇처럼 얘기하곤 했었던 하얀 모래밭, 그곳에 앉아 편지를 쓸게 hello, hello, how do you do? 아직까지 선명한걸 이렇게 맑은 날이면 더 눈부시던 너의 미소가 love and peace, face and voice, smile and kiss 그때처럼 그렇게 love and peace, face and voice, smile and kiss 웃고 있길 바랄게 i wish your love and peace 바보처럼 달콤했던 하루 떨리는 손 하염없이 설던 짧은 입맞춤, 따뜻한 숨결, 눈을 감은 너 hello, hello, how do you do? 아직까지 선명한걸 가끔씩 눈이 부시게 너의 모든 것이 떠올라 love and peace, face and voice, smile and kiss 그때처럼 그렇게 love and peace, face and voice, smile and kiss 웃고 있길 바랄게 hello, hello, how do you do? 아직까지 선명한걸 hello, hello, how do you do? love and peace, staring at the sea face and voice, smile and kiss 어느새 예전처럼 love and peace, face and voice, smile and kiss 문득 너를 부른다 i wish your love and peace",남
30,로맨틱맬로디초비,"안녕, 흰구름아 (Feat. 구름이)",2015.6.16,사계절,"동그랗고 까만 너의 예쁜 두 눈으로 나를 보네 젤리 같은 발바닥을 내게 건내주며 인사하지 그 모습이 너무나 젠틀한 신사 같단 말야 어쩜 너는 매너도 끝내주는지 안녕, 나의 흰구름아 1 2 Step Oh 1 2 Step 한 걸음씩 나를 따라와 내가 어딜가던 너는 나만 졸졸 온종일 나만 따르지 1 2 Step Oh 1 2 Step 귀여운 나의 스토커 지금도 옆에서 바짝 붙어있는 너를 어쩌면 좋을지 정말 너는 내게 새하얀 아기천사 같아 대체 너는 왜 나를 웃게 하는지 안녕, 나의 흰구름아 1 2 Step Oh 1 2 Step 한 걸음씩 나를 따라와 내가 어딜가던 너는 나만 졸졸 온종일 나만 따르지 1 2 Step Oh 1 2 Step 귀여운 나의 스토커 지금도 옆에서 바짝 붙어있는 너를 어쩌면 좋을지 정말",여
